area,area_abbr
Baytown/Harris County,BT/HC
Bellaire Area,BELA
Braeswood Place,BRWP
Brays Oaks,BRAO
Briar Hollow,BRRH
Briargrove,BRRG
Briargrove Park/Walnutbend,BP/WB
Briarmeadow/Tanglewilde,BM/TW
Charnwood/Briarbend,CN/BB
Copperfield Area,CPFA
Cottage Grove,COTG
Denver Harbor,DNHA
East End Revitalized,EER
Energy Corridor,EC
Five Corners,FVCO
Galleria,GALA
Garden Oaks,GARO
Greenway Plaza,GNPZ
Gulfton,GULF
Heights/Greater Heights,H/GH
Highland Village/Midlane,HV/ML
Hobby Area,HOBA
Knollwood/Woodside Area,KW/WS
Medical Center Area,MDCA
Medical Center South,MDCS
Memorial Park,MEMP
Memorial Villages,MEMV
Memorial West,MEMW
Meyerland Area,MEYA
Midtown - Houston,MDTN
Montrose,MONT
North Channel,NHCH
Northeast Houston,NEH
Northside,NHSD
Northwest Houston,NWH
Oak Forest East Area,OFEA
Oak Forest West Area,OFWA
Rice Military/Washington Corridor,RM/WC
Rice/Museum District,R/MD
River Oaks Area,ROA
River Oaks Shopping Area,ROSA
Rivercrest,RVRC
Riverside,RVRS
Royden Oaks/Afton Oaks,RO/AO
Sharpstown Area,SHRT
Shepherd Park Plaza Area,SHPP
Spring Branch,SPRB
Tanglewood Area,TWA
Timbergrove/Lazybrook,TG/LB
University Area,UA
Upper Kirby,UK
Washington East/Sabine,WE/SB
West University/Southside Area,WU/SS
Willow Meadows Area,WMA
